Customer ID,Recency,Frequency,Monetary,RecencyScore,FrequencyScore,MonetaryScore,RFM_Score,Customer Segment
C1039,92,11,23029,5,2,2,522,Promising
C1040,67,20,56061,5,4,5,545,Champion
C1041,76,11,30090,5,2,2,522,Promising
C1042,99,14,31017,5,3,3,533,Potential Loyalist
C1043,63,16,53419,5,3,4,534,Need Attention
C1044,41,12,18724,5,2,2,522,Promising
C1045,99,12,30850,5,2,3,523,Promising
C1046,40,12,19797,5,2,2,522,Promising
C1047,42,15,25866,5,3,2,532,Potential Loyalist
C1048,104,16,33285,5,3,3,533,Potential Loyalist
C1049,38,20,39609,5,4,3,543,Loyal Customer
C1050,164,7,21287,4,1,2,412,New Customer
C1051,50,7,21859,5,1,2,512,New Customer
C1052,47,11,33889,5,2,3,523,Promising
C1053,200,9,22431,4,2,2,422,New Customer
C1054,137,13,32510,4,3,3,433,Potential Loyalist
C1055,36,10,22123,5,2,2,522,Promising
C1056,139,19,39693,4,4,3,443,Need Attention
C1057,54,14,24392,5,3,2,532,Potential Loyalist
C1058,39,9,16515,5,2,1,521,Promising
C1059,106,8,16772,5,1,1,511,New Customer
C1060,70,9,12355,5,2,1,521,Promising
C1061,39,13,27210,5,3,2,532,Potential Loyalist
C1062,49,7,15642,5,1,1,511,New Customer
C1063,145,12,27073,4,2,2,422,New Customer
C1064,60,10,23449,5,2,2,522,Promising
C1065,154,8,16699,4,1,1,411,New Customer
C1066,126,10,12597,5,2,1,521,Promising
C1067,69,10,22808,5,2,2,522,Promising
C1068,45,10,19584,5,2,2,522,Promising
C1069,35,19,49703,5,4,4,544,Champion
C1070,69,9,23394,5,2,2,522,Promising
C1071,80,12,19011,5,2,2,522,Promising
C1072,32,14,49494,5,3,4,534,Need Attention
C1073,36,9,18589,5,2,2,522,Promising
C1074,136,14,13346,4,3,1,431,Potential Loyalist
C1075,265,12,25012,3,2,2,322,Hibernating
C1076,87,11,23043,5,2,2,522,Promising
C1077,99,15,46407,5,3,4,534,Need Attention
C1078,44,10,23192,5,2,2,522,Promising
C1079,65,16,43951,5,3,4,534,Need Attention
C1080,49,14,27053,5,3,2,532,Potential Loyalist
C1081,125,11,23456,5,2,2,522,Promising
C1082,131,12,29153,4,2,2,422,New Customer
C1083,71,12,27497,5,2,2,522,Promising
C1084,48,12,33861,5,2,3,523,Promising
C1085,88,9,17996,5,2,1,521,Promising
C1086,39,15,24903,5,3,2,532,Potential Loyalist
C1087,46,14,38370,5,3,3,533,Potential Loyalist
C1088,151,15,31926,4,3,3,433,Potential Loyalist
C1089,145,11,29441,4,2,2,422,New Customer
C1090,103,11,29367,5,2,2,522,Promising
C1091,39,7,9216,5,1,1,511,New Customer
C1092,42,9,19868,5,2,2,522,Promising
C1093,48,17,45295,5,4,4,544,Champion
C1094,154,11,21443,4,2,2,422,New Customer
C1095,57,16,41202,5,3,3,533,Potential Loyalist
C1096,39,19,37727,5,4,3,543,Loyal Customer
C1097,70,8,12600,5,1,1,511,New Customer
C1098,91,11,16067,5,2,1,521,Promising
C1099,53,16,33535,5,3,3,533,Potential Loyalist
C1100,70,17,26699,5,4,2,542,Potential Loyalist
C1101,73,15,31665,5,3,3,533,Potential Loyalist
C1102,60,11,20936,5,2,2,522,Promising
C1103,127,11,22539,4,2,2,422,New Customer
C1104,51,17,30328,5,4,3,543,Loyal Customer
C1105,102,15,21674,5,3,2,532,Potential Loyalist
C1106,145,10,10141,4,2,1,421,New Customer
C1107,99,16,47414,5,3,4,534,Need Attention
C1108,234,7,8517,3,1,1,311,New Customer
C1109,199,8,16727,4,1,1,411,New Customer
C1110,45,8,18438,5,1,2,512,New Customer
C1111,62,9,19853,5,2,2,522,Promising
C1112,187,15,45066,4,3,4,434,Need Attention
C1113,48,11,20297,5,2,2,522,Promising
C1114,51,11,30280,5,2,2,522,Promising
C1115,93,15,30599,5,3,3,533,Potential Loyalist
C1116,44,7,17803,5,1,1,511,New Customer
C1117,75,13,26235,5,3,2,532,Potential Loyalist
C1118,71,15,30279,5,3,2,532,Potential Loyalist
C1119,262,10,30008,3,2,2,322,Hibernating
C1120,88,13,32584,5,3,3,533,Potential Loyalist
C1121,119,9,14431,5,2,1,521,Promising
C1122,63,8,12721,5,1,1,511,New Customer
C1123,188,5,12126,4,1,1,411,New Customer
C1124,43,14,29022,5,3,2,532,Potential Loyalist
C1125,61,18,37101,5,4,3,543,Loyal Customer
C1126,50,9,16586,5,2,1,521,Promising
C1127,101,8,10797,5,1,1,511,New Customer
C1128,97,15,30475,5,3,3,533,Potential Loyalist
C1129,95,13,24461,5,3,2,532,Potential Loyalist
C1130,119,11,37028,5,2,3,523,Promising
C1131,69,11,30636,5,2,3,523,Promising
C1132,59,10,24895,5,2,2,522,Promising
C1133,105,14,37864,5,3,3,533,Potential Loyalist
C1134,38,15,50708,5,3,4,534,Need Attention
C1135,107,10,32007,5,2,3,523,Promising
C1136,77,16,27542,5,3,2,532,Potential Loyalist
C1137,32,18,53873,5,4,4,544,Champion
C1138,32,14,33002,5,3,3,533,Potential Loyalist
C1139,37,9,13330,5,2,1,521,Promising
C1140,35,13,26241,5,3,2,532,Potential Loyalist
C1141,65,19,49289,5,4,4,544,Champion
C1142,48,16,29641,5,3,2,532,Potential Loyalist
C1143,63,11,30977,5,2,3,523,Promising
C1144,267,8,18596,3,1,2,312,About to Sleep
C1145,84,11,24858,5,2,2,522,Promising
C1146,160,11,16125,4,2,1,421,New Customer
C1147,63,14,33102,5,3,3,533,Potential Loyalist
C1148,35,13,35616,5,3,3,533,Potential Loyalist
C1149,43,12,30030,5,2,2,522,Promising
C1150,93,14,32639,5,3,3,533,Potential Loyalist
C1151,85,12,34114,5,2,3,523,Promising
C1152,104,15,26360,5,3,2,532,Potential Loyalist
C1153,34,17,32988,5,4,3,543,Loyal Customer
C1154,134,12,26190,4,2,2,422,New Customer
C1155,137,7,14137,4,1,1,411,New Customer
C1156,399,8,17723,2,1,1,211,Hibernating
C1157,62,18,40344,5,4,3,543,Loyal Customer
C1158,52,10,16531,5,2,1,521,Promising
C1159,57,13,35545,5,3,3,533,Potential Loyalist
C1160,79,9,24011,5,2,2,522,Promising
C1161,42,7,14532,5,1,1,511,New Customer
C1162,152,12,31902,4,2,3,423,Potential Loyalist
C1163,45,11,18213,5,2,1,521,Promising
C1164,33,12,27851,5,2,2,522,Promising
C1165,179,11,32021,4,2,3,423,Potential Loyalist
C1166,145,8,15129,4,1,1,411,New Customer
C1167,61,11,21341,5,2,2,522,Promising
C1168,50,16,37194,5,3,3,533,Potential Loyalist
C1169,72,18,42434,5,4,4,544,Champion
C1170,171,15,30056,4,3,2,432,Potential Loyalist
C1171,46,21,46179,5,5,4,554,Champion
C1172,167,8,16522,4,1,1,411,New Customer
C1173,45,16,36962,5,3,3,533,Potential Loyalist
C1174,32,13,14109,5,3,1,531,Potential Loyalist
C1175,61,11,25167,5,2,2,522,Promising
C1176,229,12,22756,3,2,2,322,Hibernating
C1177,172,6,11108,4,1,1,411,New Customer
C1178,39,9,23660,5,2,2,522,Promising
C1179,57,9,37691,5,2,3,523,Promising
C1180,34,11,23568,5,2,2,522,Promising
C1181,77,19,56937,5,4,5,545,Champion
C1182,100,8,14836,5,1,1,511,New Customer
C1183,41,11,25993,5,2,2,522,Promising
C1184,114,11,30638,5,2,3,523,Promising
C1185,155,11,30604,4,2,3,423,Potential Loyalist
C1186,56,15,58838,5,3,5,535,Need Attention
C1187,243,11,36795,3,2,3,323,Potential Loyalist
C1188,507,6,19393,1,1,2,112,Lost
C1189,162,12,26064,4,2,2,422,New Customer
C1190,82,14,30191,5,3,2,532,Potential Loyalist
C1191,288,7,12162,3,1,1,311,New Customer
C1192,43,15,35086,5,3,3,533,Potential Loyalist
C1193,71,7,17437,5,1,1,511,New Customer
C1194,104,11,32087,5,2,3,523,Promising
C1195,148,14,20729,4,3,2,432,Potential Loyalist
C1196,75,14,26870,5,3,2,532,Potential Loyalist
C1197,39,14,38038,5,3,3,533,Potential Loyalist
C1198,35,13,23208,5,3,2,532,Potential Loyalist
C1199,67,13,31009,5,3,3,533,Potential Loyalist
C1200,211,6,23228,4,1,2,412,New Customer
C1201,98,13,42889,5,3,4,534,Need Attention
C1202,35,16,43447,5,3,4,534,Need Attention
C1203,140,9,14705,4,2,1,421,New Customer
C1204,62,16,35435,5,3,3,533,Potential Loyalist
C1205,132,12,41936,4,2,3,423,Potential Loyalist
C1206,99,14,29513,5,3,2,532,Potential Loyalist
C1207,31,12,33213,5,2,3,523,Promising
C1208,60,12,33078,5,2,3,523,Promising
C1209,124,8,21180,5,1,2,512,New Customer
C1210,43,15,25239,5,3,2,532,Potential Loyalist
C1211,64,15,40652,5,3,3,533,Potential Loyalist
C1212,93,17,55923,5,4,5,545,Champion
C1213,59,16,44554,5,3,4,534,Need Attention
C1214,114,10,36514,5,2,3,523,Promising
C1215,42,6,14633,5,1,1,511,New Customer
C1216,85,12,29640,5,2,2,522,Promising
C1217,54,17,39388,5,4,3,543,Loyal Customer
C1218,35,8,13348,5,1,1,511,New Customer
C1219,34,15,32911,5,3,3,533,Potential Loyalist
C1220,62,12,28121,5,2,2,522,Promising
C1221,88,18,29325,5,4,2,542,Potential Loyalist
C1222,125,12,23103,5,2,2,522,Promising
C1223,99,9,20812,5,2,2,522,Promising
C1224,87,12,26360,5,2,2,522,Promising
C1225,61,13,31027,5,3,3,533,Potential Loyalist
C1226,110,7,19731,5,1,2,512,New Customer
C1227,149,16,34886,4,3,3,433,Potential Loyalist
C1228,118,11,28883,5,2,2,522,Promising
C1229,68,12,20045,5,2,2,522,Promising
C1230,64,10,21448,5,2,2,522,Promising
C1231,57,11,21445,5,2,2,522,Promising
C1232,71,14,38703,5,3,3,533,Potential Loyalist
C1233,115,9,23920,5,2,2,522,Promising
C1234,53,8,13008,5,1,1,511,New Customer
C1235,92,20,49878,5,4,4,544,Champion
C1236,54,5,10415,5,1,1,511,New Customer
C1237,64,17,43745,5,4,4,544,Champion
C1238,247,8,21538,3,1,2,312,About to Sleep
C1239,46,15,29182,5,3,2,532,Potential Loyalist
C1240,86,10,19323,5,2,2,522,Promising
C1241,220,6,12579,4,1,1,411,New Customer
C1242,51,7,24593,5,1,2,512,New Customer
C1243,78,14,36438,5,3,3,533,Potential Loyalist
C1244,94,12,45633,5,2,4,524,Promising
C1245,63,14,35649,5,3,3,533,Potential Loyalist
C1246,54,19,64036,5,4,5,545,Champion
C1247,136,10,19365,4,2,2,422,New Customer
C1248,52,14,25426,5,3,2,532,Potential Loyalist
C1249,135,12,18423,4,2,2,422,New Customer
C1250,173,10,24160,4,2,2,422,New Customer
C1251,126,18,39661,5,4,3,543,Loyal Customer
C1252,59,13,43733,5,3,4,534,Need Attention
C1253,89,7,13583,5,1,1,511,New Customer
C1254,49,17,39319,5,4,3,543,Loyal Customer
C1255,58,12,20968,5,2,2,522,Promising
C1256,53,15,26597,5,3,2,532,Potential Loyalist
C1257,52,13,28418,5,3,2,532,Potential Loyalist
C1258,48,8,10620,5,1,1,511,New Customer
C1259,37,10,18184,5,2,1,521,Promising
C1260,48,13,40422,5,3,3,533,Potential Loyalist
C1261,76,7,6569,5,1,1,511,New Customer
C1262,56,12,19005,5,2,2,522,Promising
C1263,127,14,43703,4,3,4,434,Need Attention
C1264,79,18,38802,5,4,3,543,Loyal Customer
C1265,55,19,42321,5,4,4,544,Champion
C1266,160,14,28052,4,3,2,432,Potential Loyalist
C1267,58,14,33239,5,3,3,533,Potential Loyalist
C1268,48,11,21952,5,2,2,522,Promising
C1269,116,8,16196,5,1,1,511,New Customer
C1270,48,19,41306,5,4,3,543,Loyal Customer
C1271,63,7,9154,5,1,1,511,New Customer
C1272,68,14,25613,5,3,2,532,Potential Loyalist
C1273,41,17,48444,5,4,4,544,Champion
C1274,133,14,31609,4,3,3,433,Potential Loyalist
C1275,186,14,30972,4,3,3,433,Potential Loyalist
C1276,38,11,20291,5,2,2,522,Promising
C1277,46,11,17500,5,2,1,521,Promising
C1278,168,6,19042,4,1,2,412,New Customer
C1279,130,12,25842,4,2,2,422,New Customer
C1280,49,8,17924,5,1,1,511,New Customer
C1281,114,13,43992,5,3,4,534,Need Attention
C1282,132,8,23754,4,1,2,412,New Customer
C1283,40,10,38613,5,2,3,523,Promising
C1284,102,14,36347,5,3,3,533,Potential Loyalist
C1285,55,14,32506,5,3,3,533,Potential Loyalist
C1286,58,15,19782,5,3,2,532,Potential Loyalist
C1287,350,8,11946,2,1,1,211,Hibernating
C1288,143,9,17322,4,2,1,421,New Customer
C1289,39,17,37409,5,4,3,543,Loyal Customer
C1290,67,12,30156,5,2,2,522,Promising
C1291,123,16,34216,5,3,3,533,Potential Loyalist
C1292,143,8,19768,4,1,2,412,New Customer
C1293,81,10,19479,5,2,2,522,Promising
C1294,149,11,36747,4,2,3,423,Potential Loyalist
C1295,38,10,32829,5,2,3,523,Promising
C1296,116,11,19637,5,2,2,522,Promising
C1297,53,14,33636,5,3,3,533,Potential Loyalist
C1298,41,15,33918,5,3,3,533,Potential Loyalist
C1299,81,14,22155,5,3,2,532,Potential Loyalist
C1300,83,13,33605,5,3,3,533,Potential Loyalist
C1301,60,9,23163,5,2,2,522,Promising
C1302,52,10,14468,5,2,1,521,Promising
C1303,110,14,44800,5,3,4,534,Need Attention
C1304,37,19,52655,5,4,4,544,Champion
C1305,89,8,25382,5,1,2,512,New Customer
C1306,100,13,24568,5,3,2,532,Potential Loyalist
C1307,62,13,28073,5,3,2,532,Potential Loyalist
C1308,34,6,19549,5,1,2,512,New Customer
C1309,42,11,14383,5,2,1,521,Promising
C1310,70,17,51773,5,4,4,544,Champion
C1311,48,15,44886,5,3,4,534,Need Attention
C1312,91,11,43388,5,2,4,524,Promising
C1313,176,16,33763,4,3,3,433,Potential Loyalist
C1314,48,21,41574,5,5,3,553,Potential Loyalist
C1315,54,10,20602,5,2,2,522,Promising
C1316,85,13,51758,5,3,4,534,Need Attention
C1317,98,11,35803,5,2,3,523,Promising
C1318,39,16,37012,5,3,3,533,Potential Loyalist
C1319,69,9,24554,5,2,2,522,Promising
C1320,94,9,11821,5,2,1,521,Promising
C1321,136,10,15764,4,2,1,421,New Customer
C1322,69,14,27385,5,3,2,532,Potential Loyalist
C1323,83,11,14300,5,2,1,521,Promising
C1324,47,20,47846,5,4,4,544,Champion
C1325,68,10,30268,5,2,2,522,Promising
C1326,126,16,48795,5,3,4,534,Need Attention
C1327,63,14,33165,5,3,3,533,Potential Loyalist
C1328,130,11,27600,4,2,2,422,New Customer
C1329,65,10,30915,5,2,3,523,Promising
C1330,95,16,39445,5,3,3,533,Potential Loyalist
C1331,99,6,7645,5,1,1,511,New Customer
C1332,45,8,14944,5,1,1,511,New Customer
C1333,113,11,23001,5,2,2,522,Promising
C1334,48,11,25950,5,2,2,522,Promising
C1335,42,20,46871,5,4,4,544,Champion
C1336,153,9,23561,4,2,2,422,New Customer
C1337,96,13,24604,5,3,2,532,Potential Loyalist
C1338,34,15,24999,5,3,2,532,Potential Loyalist
C1339,130,14,26728,4,3,2,432,Potential Loyalist
C1340,121,11,35401,5,2,3,523,Promising
C1341,42,12,29172,5,2,2,522,Promising
C1342,42,19,47993,5,4,4,544,Champion
C1343,43,19,52631,5,4,4,544,Champion
C1344,65,18,36723,5,4,3,543,Loyal Customer
C1345,55,18,60629,5,4,5,545,Champion
C1346,32,21,52875,5,5,4,554,Champion
C1347,76,12,31127,5,2,3,523,Promising
C1348,31,7,18055,5,1,1,511,New Customer
C1349,34,10,16743,5,2,1,521,Promising
C1350,32,11,31862,5,2,3,523,Promising
C1351,85,10,20023,5,2,2,522,Promising
C1352,37,14,37479,5,3,3,533,Potential Loyalist
C1353,44,10,30517,5,2,3,523,Promising
C1354,71,15,43959,5,3,4,534,Need Attention
C1355,267,6,21118,3,1,2,312,About to Sleep
C1356,59,15,36570,5,3,3,533,Potential Loyalist
C1357,140,17,49681,4,4,4,444,Loyal Customer
C1358,86,10,26340,5,2,2,522,Promising
C1359,394,7,21861,2,1,2,212,Hibernating
C1360,125,16,34907,5,3,3,533,Potential Loyalist
C1361,317,6,16679,2,1,1,211,Hibernating
C1362,90,7,13400,5,1,1,511,New Customer
C1363,66,10,19128,5,2,2,522,Promising
C1364,75,23,52862,5,5,4,554,Champion
C1365,58,13,21077,5,3,2,532,Potential Loyalist
C1366,64,11,52395,5,2,4,524,Promising
C1367,57,6,11746,5,1,1,511,New Customer
C1368,180,13,47091,4,3,4,434,Need Attention
C1369,97,11,22115,5,2,2,522,Promising
C1370,52,13,30569,5,3,3,533,Potential Loyalist
C1371,34,13,33829,5,3,3,533,Potential Loyalist
C1372,71,15,34792,5,3,3,533,Potential Loyalist
C1373,115,16,32099,5,3,3,533,Potential Loyalist
C1374,57,22,66133,5,5,5,555,Champion
C1375,137,12,22434,4,2,2,422,New Customer
C1376,60,11,40901,5,2,3,523,Promising
C1377,50,13,39400,5,3,3,533,Potential Loyalist
C1378,107,12,34737,5,2,3,523,Promising
C1379,70,12,27962,5,2,2,522,Promising
C1380,223,9,28155,3,2,2,322,Hibernating
C1381,98,10,33294,5,2,3,523,Promising
C1382,36,18,25955,5,4,2,542,Potential Loyalist
C1383,95,11,17027,5,2,1,521,Promising
C1384,351,7,9789,2,1,1,211,Hibernating
C1385,67,10,20395,5,2,2,522,Promising
C1386,89,15,30724,5,3,3,533,Potential Loyalist
C1387,123,14,35824,5,3,3,533,Potential Loyalist
C1388,92,12,32206,5,2,3,523,Promising
C1389,81,11,10257,5,2,1,521,Promising
C1390,59,6,14371,5,1,1,511,New Customer
C1391,134,10,19525,4,2,2,422,New Customer
C1392,73,14,29687,5,3,2,532,Potential Loyalist
C1393,87,10,24908,5,2,2,522,Promising
C1394,119,13,27413,5,3,2,532,Potential Loyalist
C1395,40,11,22904,5,2,2,522,Promising
C1396,97,13,28493,5,3,2,532,Potential Loyalist
C1397,43,12,25479,5,2,2,522,Promising
C1398,194,7,23758,4,1,2,412,New Customer
C1399,50,12,27119,5,2,2,522,Promising
C1400,81,19,36718,5,4,3,543,Loyal Customer
C1401,46,10,14870,5,2,1,521,Promising
C1402,50,14,35536,5,3,3,533,Potential Loyalist
C1403,485,9,17858,1,2,1,121,Lost
C1404,33,10,11952,5,2,1,521,Promising
C1405,152,12,31402,4,2,3,423,Potential Loyalist
C1406,197,11,23712,4,2,2,422,New Customer
C1407,45,15,24401,5,3,2,532,Potential Loyalist
C1408,58,19,36908,5,4,3,543,Loyal Customer
C1409,105,13,30257,5,3,2,532,Potential Loyalist
C1410,175,8,15752,4,1,1,411,New Customer
C1411,33,13,26657,5,3,2,532,Potential Loyalist
C1412,34,9,16513,5,2,1,521,Promising
C1413,92,11,25542,5,2,2,522,Promising
C1414,64,19,41516,5,4,3,543,Loyal Customer
C1415,39,12,24449,5,2,2,522,Promising
C1416,180,9,30195,4,2,2,422,New Customer
C1417,245,10,28264,3,2,2,322,Hibernating
C1418,155,16,39001,4,3,3,433,Potential Loyalist
C1419,59,25,49787,5,5,4,554,Champion
C1420,151,11,30311,4,2,2,422,New Customer
C1421,41,13,24973,5,3,2,532,Potential Loyalist
C1422,95,13,29531,5,3,2,532,Potential Loyalist
C1423,139,17,42756,4,4,4,444,Loyal Customer
C1424,106,9,17499,5,2,1,521,Promising
C1425,55,12,25468,5,2,2,522,Promising
C1426,145,18,38242,4,4,3,443,Need Attention
C1427,125,14,25185,5,3,2,532,Potential Loyalist
C1428,81,13,45196,5,3,4,534,Need Attention
C1429,100,10,27966,5,2,2,522,Promising
C1430,114,10,24214,5,2,2,522,Promising
C1431,66,12,25130,5,2,2,522,Promising
C1432,85,9,13967,5,2,1,521,Promising
C1433,35,13,41298,5,3,3,533,Potential Loyalist
C1434,38,15,37736,5,3,3,533,Potential Loyalist
C1435,255,10,25478,3,2,2,322,Hibernating
C1436,36,14,38706,5,3,3,533,Potential Loyalist
C1437,167,5,15078,4,1,1,411,New Customer
C1438,140,13,25769,4,3,2,432,Potential Loyalist
C1439,111,11,30458,5,2,3,523,Promising
C1440,142,16,33881,4,3,3,433,Potential Loyalist
C1441,170,11,14036,4,2,1,421,New Customer
C1442,116,15,16852,5,3,1,531,Potential Loyalist
C1443,57,12,32344,5,2,3,523,Promising
C1444,120,9,18105,5,2,1,521,Promising
C1445,95,10,18494,5,2,2,522,Promising
C1446,61,16,46770,5,3,4,534,Need Attention
C1447,272,6,11307,3,1,1,311,New Customer
C1448,178,10,22813,4,2,2,422,New Customer
C1449,85,15,33953,5,3,3,533,Potential Loyalist
C1450,62,15,30411,5,3,3,533,Potential Loyalist
C1451,213,11,34999,4,2,3,423,Potential Loyalist
C1452,62,10,26880,5,2,2,522,Promising
C1453,165,13,24486,4,3,2,432,Potential Loyalist
C1454,39,14,34890,5,3,3,533,Potential Loyalist
C1455,55,13,24305,5,3,2,532,Potential Loyalist
C1456,145,8,13465,4,1,1,411,New Customer
C1457,40,7,20689,5,1,2,512,New Customer
C1458,81,10,26778,5,2,2,522,Promising
C1459,47,8,29151,5,1,2,512,New Customer
C1460,59,17,51264,5,4,4,544,Champion
C1461,265,16,48904,3,3,4,334,Need Attention
C1462,199,9,22721,4,2,2,422,New Customer
C1463,36,18,42659,5,4,4,544,Champion
C1464,87,6,22212,5,1,2,512,New Customer
C1465,78,16,40123,5,3,3,533,Potential Loyalist
C1466,43,14,28639,5,3,2,532,Potential Loyalist
C1467,87,7,17198,5,1,1,511,New Customer
C1468,48,8,13505,5,1,1,511,New Customer
C1469,138,10,37589,4,2,3,423,Potential Loyalist
C1470,96,13,34472,5,3,3,533,Potential Loyalist
C1471,68,13,24404,5,3,2,532,Potential Loyalist
C1472,60,9,25599,5,2,2,522,Promising
C1473,284,9,20508,3,2,2,322,Hibernating
C1474,470,8,21731,1,1,2,112,Lost
C1475,41,14,25878,5,3,2,532,Potential Loyalist
C1476,44,15,36310,5,3,3,533,Potential Loyalist
C1477,42,12,31914,5,2,3,523,Promising
C1478,65,17,40337,5,4,3,543,Loyal Customer
C1479,34,15,31463,5,3,3,533,Potential Loyalist
C1480,48,7,12785,5,1,1,511,New Customer
C1481,67,10,20106,5,2,2,522,Promising
C1482,87,7,26044,5,1,2,512,New Customer
C1483,103,18,36698,5,4,3,543,Loyal Customer
C1484,160,14,32922,4,3,3,433,Potential Loyalist
C1485,84,12,22443,5,2,2,522,Promising
C1486,35,17,44055,5,4,4,544,Champion
C1487,48,17,49128,5,4,4,544,Champion
C1488,71,9,21559,5,2,2,522,Promising
C1489,62,13,40837,5,3,3,533,Potential Loyalist
C1490,46,13,32684,5,3,3,533,Potential Loyalist
C1491,140,9,21922,4,2,2,422,New Customer
C1492,104,7,17375,5,1,1,511,New Customer
C1493,133,12,23815,4,2,2,422,New Customer
C1494,68,12,37757,5,2,3,523,Promising
C1495,63,12,34255,5,2,3,523,Promising
C1496,37,11,18670,5,2,2,522,Promising
C1497,140,8,21059,4,1,2,412,New Customer
C1498,85,18,29348,5,4,2,542,Potential Loyalist
C1499,60,9,30594,5,2,3,523,Promising
C1500,100,9,26129,5,2,2,522,Promising
C1501,77,14,26286,5,3,2,532,Potential Loyalist
C1502,35,17,33258,5,4,3,543,Loyal Customer
C1503,49,12,20664,5,2,2,522,Promising
C1504,50,9,17273,5,2,1,521,Promising
C1505,55,14,31592,5,3,3,533,Potential Loyalist
C1506,108,17,45314,5,4,4,544,Champion
C1507,45,18,22936,5,4,2,542,Potential Loyalist
C1508,53,11,27848,5,2,2,522,Promising
C1509,53,12,19859,5,2,2,522,Promising
C1510,133,10,27496,4,2,2,422,New Customer
C1511,55,12,22032,5,2,2,522,Promising
C1512,46,13,31267,5,3,3,533,Potential Loyalist
C1513,130,14,24883,4,3,2,432,Potential Loyalist
C1514,56,19,45672,5,4,4,544,Champion
C1515,131,13,38855,4,3,3,433,Potential Loyalist
C1516,34,7,9689,5,1,1,511,New Customer
C1517,56,13,38255,5,3,3,533,Potential Loyalist
C1518,108,10,18896,5,2,2,522,Promising
C1519,114,9,14639,5,2,1,521,Promising
C1520,42,13,27502,5,3,2,532,Potential Loyalist
C1521,71,9,21051,5,2,2,522,Promising
C1522,37,12,43345,5,2,4,524,Promising
C1523,59,15,30027,5,3,2,532,Potential Loyalist
C1524,35,13,20944,5,3,2,532,Potential Loyalist
C1525,167,12,25563,4,2,2,422,New Customer
C1526,47,12,32758,5,2,3,523,Promising
C1527,204,9,17776,4,2,1,421,New Customer
C1528,39,12,24590,5,2,2,522,Promising
C1529,172,11,31985,4,2,3,423,Potential Loyalist
C1530,43,14,51501,5,3,4,534,Need Attention
C1531,61,18,37822,5,4,3,543,Loyal Customer
C1532,105,15,34687,5,3,3,533,Potential Loyalist
C1533,60,10,24095,5,2,2,522,Promising
C1534,70,9,31696,5,2,3,523,Promising
C1535,90,7,22999,5,1,2,512,New Customer
C1536,38,16,32116,5,3,3,533,Potential Loyalist
C1537,129,15,50457,4,3,4,434,Need Attention
C1538,72,13,42305,5,3,4,534,Need Attention
C1539,62,17,23797,5,4,2,542,Potential Loyalist
C1540,90,8,20430,5,1,2,512,New Customer
C1541,53,14,29599,5,3,2,532,Potential Loyalist
C1542,81,15,26574,5,3,2,532,Potential Loyalist
C1543,62,22,52690,5,5,4,554,Champion
C1544,430,4,7516,1,1,1,111,Lost
C1545,54,13,27260,5,3,2,532,Potential Loyalist
C1546,31,12,40845,5,2,3,523,Promising
C1547,141,7,14348,4,1,1,411,New Customer
C1548,80,13,25377,5,3,2,532,Potential Loyalist
C1549,122,10,24171,5,2,2,522,Promising
C1550,71,8,14904,5,1,1,511,New Customer
C1551,153,11,39711,4,2,3,423,Potential Loyalist
