,Order ID,Product ID,Location ID,Customer ID,Purchase Date,Quantity,Price,Total Amount,Product Name,Cost,City,County,State,Total Cost,Customer Segment
98,AX10284,ENX2028,A116,C1715,2018-10-08,4,2283,9132,Product 29,1484,El Monte,Los Angeles County,California,5936,Promising
99,AX10291,ENX2066,A127,C1499,2018-04-18,3,2091,6273,Product 67,1485,Inglewood,Los Angeles County,California,4455,Promising
100,AX10294,ENX2006,A121,C1443,2018-01-26,4,1826,7304,Product 7,1443,Fresno,Fresno County,California,5772,Promising
101,AX10299,ENX2022,A143,C1304,2018-08-16,2,561,1122,Product 23,421,Pasadena,Los Angeles County,California,842,Champion
102,AX10301,ENX2079,A164,C1015,2018-07-03,2,1725,3450,Product 80,1363,Stockton,San Joaquin County,California,2726,Potential Loyalist
103,AX10305,ENX2080,A114,C1095,2018-09-09,3,2353,7059,Product 81,1788,El Cajon,San Diego County,California,5364,Potential Loyalist
104,AX10306,ENX2032,A150,C1307,2018-05-09,1,1967,1967,Product 33,1397,Sacramento,Sacramento County,California,1397,Potential Loyalist
105,AX10314,ENX2096,A104,C1244,2018-08-20,3,1587,4761,Product 97,1301,Burbank,Los Angeles County,California,3903,Promising
106,AX10319,ENX2016,A158,C1094,2018-02-28,1,1351,1351,Product 17,1108,Santa Ana,Orange County,California,1108,New Customer
107,AX10320,ENX2016,A128,C1723,2018-11-27,2,1351,2702,Product 17,1108,Irvine,Orange County,California,2216,Loyal Customer
108,AX10326,ENX2085,A108,C1212,2018-05-15,4,1862,7448,Product 86,1173,Concord,Contra Costa County,California,4692,Champion
109,AX10328,ENX2018,A103,C1110,2018-10-25,3,1972,5916,Product 19,1321,Berkeley,Alameda County,California,3963,New Customer
110,AX10336,ENX2088,A155,C1654,2018-03-01,4,603,2412,Product 89,416,San Francisco,San Francisco County,California,1664,Champion
111,AX10338,ENX2037,A129,C1383,2018-07-02,1,880,880,Product 38,634,Jurupa Valley,Riverside County,California,634,Promising
112,AX10340,ENX2086,A166,C1548,2018-01-13,4,123,492,Product 87,84,Temecula,Riverside County,California,336,Potential Loyalist
113,AX10341,ENX2059,A155,C1035,2018-09-30,1,1494,1494,Product 60,971,San Francisco,San Francisco County,California,971,New Customer
114,AX10345,ENX2087,A152,C1288,2018-11-03,1,1022,1022,Product 88,818,San Bernardino,San Bernardino County,California,818,New Customer
115,AX10347,ENX2026,A101,C1304,2018-04-18,2,947,1894,Product 27,786,Antioch,Contra Costa County,California,1572,Champion
116,AX10348,ENX2018,A131,C1019,2018-06-03,2,1972,3944,Product 19,1321,Long Beach,Los Angeles County,California,2642,Promising
117,AX10352,ENX2084,A120,C1724,2018-07-07,2,1783,3566,Product 85,1230,Fremont,Alameda County,California,2460,Potential Loyalist
118,AX10353,ENX2028,A172,C1509,2018-01-02,1,2283,2283,Product 29,1484,Vista,San Diego County,California,1484,Promising
119,AX10356,ENX2081,A130,C1671,2018-08-31,3,1566,4698,Product 82,1190,Lancaster,Los Angeles County,California,3570,Champion
120,AX10358,ENX2044,A120,C1130,2018-12-23,1,886,886,Product 45,478,Fremont,Alameda County,California,478,Promising
121,AX10362,ENX2071,A169,C1322,2018-02-04,1,136,136,Product 72,72,Vallejo,Solano County,California,72,Potential Loyalist
122,AX10363,ENX2031,A108,C1394,2018-10-12,1,1638,1638,Product 32,1261,Concord,Contra Costa County,California,1261,Potential Loyalist
123,AX10364,ENX2080,A147,C1798,2018-01-17,3,2353,7059,Product 81,1788,Richmond,Contra Costa County,California,5364,Loyal Customer
124,AX10365,ENX2015,A125,C1679,2018-12-19,1,637,637,Product 16,389,Hayward,Alameda County,California,389,Promising
125,AX10367,ENX2096,A113,C1751,2018-12-31,1,1587,1587,Product 97,1301,East Los Angeles,Los Angeles County,California,1301,Hibernating
126,AX10370,ENX2011,A132,C1419,2018-09-09,1,530,530,Product 12,435,Los Angeles,Los Angeles County,California,435,Champion
127,AX10372,ENX2063,A140,C1254,2018-09-09,3,1708,5124,Product 64,871,Orange,Orange County,California,2613,Loyal Customer
128,AX10373,ENX2060,A136,C1229,2018-03-07,4,1467,5868,Product 61,807,Norwalk,Los Angeles County,California,3228,Promising
129,AX10377,ENX2086,A129,C1124,2018-03-05,2,123,246,Product 87,84,Jurupa Valley,Riverside County,California,168,Potential Loyalist
130,AX10378,ENX2007,A120,C1174,2018-12-19,1,1405,1405,Product 8,1054,Fremont,Alameda County,California,1054,Potential Loyalist
131,AX10380,ENX2076,A110,C1062,2018-09-11,1,1522,1522,Product 77,791,Costa Mesa,Orange County,California,791,New Customer
132,AX10383,ENX2040,A141,C1085,2018-11-20,2,1889,3778,Product 41,945,Oxnard,Ventura County,California,1890,Promising
133,AX10390,ENX2011,A151,C1422,2018-02-16,3,530,1590,Product 12,435,Salinas,Monterey County,California,1305,Potential Loyalist
134,AX10395,ENX2085,A111,C1402,2018-02-24,1,1862,1862,Product 86,1173,Daly City,San Mateo County,California,1173,Potential Loyalist
135,AX10396,ENX2044,A116,C1217,2018-04-09,1,886,886,Product 45,478,El Monte,Los Angeles County,California,478,Loyal Customer
136,AX10399,ENX2084,A103,C1539,2018-01-12,1,1783,1783,Product 85,1230,Berkeley,Alameda County,California,1230,Potential Loyalist
137,AX10400,ENX2038,A138,C1490,2018-04-29,4,392,1568,Product 39,255,Oceanside,San Diego County,California,1020,Potential Loyalist
138,AX10401,ENX2019,A156,C1618,2018-11-26,1,800,800,Product 20,536,San Jose,Santa Clara County,California,536,Promising
139,AX10403,ENX2041,A124,C1717,2018-03-29,4,1380,5520,Product 42,1090,Glendale,Los Angeles County,California,4360,Need Attention
140,AX10408,ENX2069,A166,C1742,2018-09-13,1,378,378,Product 70,291,Temecula,Riverside County,California,291,Potential Loyalist
141,AX10413,ENX2000,A109,C1345,2018-10-31,1,2241,2241,Product 1,1367,Corona,Riverside County,California,1367,Champion
142,AX10414,ENX2043,A170,C1096,2018-02-01,1,545,545,Product 44,425,Victorville,San Bernardino County,California,425,Loyal Customer
143,AX10417,ENX2090,A151,C1132,2018-10-26,1,1338,1338,Product 91,682,Salinas,Monterey County,California,682,Promising
144,AX10419,ENX2017,A101,C1196,2018-10-24,1,35,35,Product 18,22,Antioch,Contra Costa County,California,22,Potential Loyalist
145,AX10420,ENX2010,A112,C1599,2018-03-15,1,1812,1812,Product 11,1305,Downey,Los Angeles County,California,1305,Potential Loyalist
146,AX10421,ENX2001,A112,C1041,2018-02-07,1,951,951,Product 2,504,Downey,Los Angeles County,California,504,Promising
147,AX10423,ENX2038,A130,C1446,2018-08-16,4,392,1568,Product 39,255,Lancaster,Los Angeles County,California,1020,Need Attention
148,AX10425,ENX2098,A120,C1682,2018-01-28,1,1178,1178,Product 99,683,Fremont,Alameda County,California,683,Promising
149,AX10426,ENX2088,A147,C1103,2018-08-16,1,603,603,Product 89,416,Richmond,Contra Costa County,California,416,New Customer
150,AX10429,ENX2014,A162,C1368,2018-06-18,4,1809,7236,Product 15,1067,Santa Rosa,Sonoma County,California,4268,Need Attention
151,AX10430,ENX2026,A136,C1055,2018-12-11,1,947,947,Product 27,786,Norwalk,Los Angeles County,California,786,Promising
152,AX10431,ENX2002,A113,C1660,2018-03-12,1,847,847,Product 3,534,East Los Angeles,Los Angeles County,California,534,Potential Loyalist
153,AX10434,ENX2079,A166,C1465,2018-04-19,2,1725,3450,Product 80,1363,Temecula,Riverside County,California,2726,Potential Loyalist
154,AX10438,ENX2081,A123,C1330,2018-08-10,2,1566,3132,Product 82,1190,Garden Grove,Orange County,California,2380,Potential Loyalist
155,AX10440,ENX2020,A116,C1265,2018-04-01,1,2005,2005,Product 21,1223,El Monte,Los Angeles County,California,1223,Champion
156,AX10443,ENX2057,A133,C1571,2018-04-25,1,181,181,Product 58,130,Modesto,Stanislaus County,California,130,Potential Loyalist
157,AX10444,ENX2034,A117,C1254,2018-02-04,3,871,2613,Product 35,540,Escondido,San Diego County,California,1620,Loyal Customer
158,AX10445,ENX2053,A165,C1743,2018-01-02,4,596,2384,Product 54,358,Sunnyvale,Santa Clara County,California,1432,Champion
159,AX10447,ENX2057,A127,C1359,2018-12-16,1,181,181,Product 58,130,Inglewood,Los Angeles County,California,130,Hibernating
160,AX10454,ENX2084,A124,C1631,2018-09-25,1,1783,1783,Product 85,1230,Glendale,Los Angeles County,California,1230,Potential Loyalist
161,AX10462,ENX2034,A113,C1188,2018-06-06,1,871,871,Product 35,540,East Los Angeles,Los Angeles County,California,540,Lost
162,AX10464,ENX2011,A125,C1330,2018-06-17,1,530,530,Product 12,435,Hayward,Alameda County,California,435,Potential Loyalist
163,AX10465,ENX2011,A100,C1076,2018-06-18,1,530,530,Product 12,435,Anaheim,Orange County,California,435,Promising
164,AX10466,ENX2029,A154,C1126,2018-11-09,2,1848,3696,Product 30,1294,San Diego,San Diego County,California,2588,Promising
165,AX10467,ENX2040,A162,C1653,2018-05-31,2,1889,3778,Product 41,945,Santa Rosa,Sonoma County,California,1890,Champion
166,AX10469,ENX2031,A120,C1736,2018-09-15,3,1638,4914,Product 32,1261,Fremont,Alameda County,California,3783,Champion
167,AX10474,ENX2040,A160,C1031,2018-05-18,1,1889,1889,Product 41,945,Santa Clarita,Los Angeles County,California,945,New Customer
168,AX10475,ENX2084,A154,C1219,2018-05-22,1,1783,1783,Product 85,1230,San Diego,San Diego County,California,1230,Potential Loyalist
169,AX10479,ENX2041,A130,C1214,2018-03-28,1,1380,1380,Product 42,1090,Lancaster,Los Angeles County,California,1090,Promising
170,AX10480,ENX2095,A125,C1213,2018-03-24,4,1743,6972,Product 96,872,Hayward,Alameda County,California,3488,Need Attention
171,AX10482,ENX2052,A152,C1065,2018-01-26,2,1526,3052,Product 53,1251,San Bernardino,San Bernardino County,California,2502,New Customer
172,AX10485,ENX2075,A159,C1586,2018-10-16,3,400,1200,Product 76,208,Santa Clara,Santa Clara County,California,624,Promising
173,AX10486,ENX2046,A111,C1196,2018-10-28,1,2410,2410,Product 47,1518,Daly City,San Mateo County,California,1518,Potential Loyalist
174,AX10487,ENX2091,A143,C1654,2018-05-02,3,368,1104,Product 92,294,Pasadena,Los Angeles County,California,882,Champion
175,AX10488,ENX2028,A170,C1169,2018-06-03,1,2283,2283,Product 29,1484,Victorville,San Bernardino County,California,1484,Champion
176,AX10490,ENX2089,A169,C1595,2018-12-29,1,2294,2294,Product 90,1399,Vallejo,Solano County,California,1399,Potential Loyalist
177,AX10496,ENX2076,A144,C1514,2018-09-13,4,1522,6088,Product 77,791,Pomona,Los Angeles County,California,3164,Champion
178,AX10498,ENX2061,A166,C1647,2018-06-29,1,913,913,Product 62,584,Temecula,Riverside County,California,584,New Customer
179,AX10499,ENX2027,A142,C1793,2018-11-01,3,2497,7491,Product 28,1473,Palmdale,Los Angeles County,California,4419,Need Attention
180,AX10503,ENX2009,A105,C1327,2018-05-05,1,584,584,Product 10,420,Carlsbad,San Diego County,California,420,Potential Loyalist
181,AX10511,ENX2095,A128,C1315,2018-02-25,1,1743,1743,Product 96,872,Irvine,Orange County,California,872,Promising
182,AX10514,ENX2053,A120,C1750,2018-11-27,1,596,596,Product 54,358,Fremont,Alameda County,California,358,Potential Loyalist
183,AX10515,ENX2062,A143,C1712,2018-07-06,4,2464,9856,Product 63,1774,Pasadena,Los Angeles County,California,7096,Champion
184,AX10517,ENX2018,A115,C1759,2018-10-15,3,1972,5916,Product 19,1321,Elk Grove,Sacramento County,California,3963,Promising
185,AX10520,ENX2015,A166,C1170,2018-08-13,1,637,637,Product 16,389,Temecula,Riverside County,California,389,Potential Loyalist
186,AX10522,ENX2055,A148,C1569,2018-05-07,1,2495,2495,Product 56,1896,Riverside,Riverside County,California,1896,Potential Loyalist
187,AX10524,ENX2078,A117,C1676,2018-12-18,1,1798,1798,Product 79,971,Escondido,San Diego County,California,971,Potential Loyalist
188,AX10529,ENX2060,A162,C1524,2018-05-16,3,1467,4401,Product 61,807,Santa Rosa,Sonoma County,California,2421,Potential Loyalist
189,AX10530,ENX2052,A132,C1251,2018-04-21,4,1526,6104,Product 53,1251,Los Angeles,Los Angeles County,California,5004,Loyal Customer
190,AX10532,ENX2033,A156,C1100,2018-03-21,1,2182,2182,Product 34,1200,San Jose,Santa Clara County,California,1200,Potential Loyalist
191,AX10535,ENX2058,A128,C1268,2018-10-10,1,2257,2257,Product 59,1535,Irvine,Orange County,California,1535,Promising
192,AX10537,ENX2073,A124,C1408,2018-11-23,1,95,95,Product 74,61,Glendale,Los Angeles County,California,61,Loyal Customer
193,AX10538,ENX2016,A130,C1537,2018-02-11,3,1351,4053,Product 17,1108,Lancaster,Los Angeles County,California,3324,Need Attention
194,AX10541,ENX2076,A145,C1651,2018-11-26,2,1522,3044,Product 77,791,Rancho Cucamonga,San Bernardino County,California,1582,Potential Loyalist
195,AX10542,ENX2096,A107,C1011,2018-08-15,4,1587,6348,Product 97,1301,Clovis,Fresno County,California,5204,Promising
196,AX10547,ENX2080,A113,C1472,2018-11-21,4,2353,9412,Product 81,1788,East Los Angeles,Los Angeles County,California,7152,Promising
197,AX10550,ENX2060,A100,C1175,2018-10-04,1,1467,1467,Product 61,807,Anaheim,Orange County,California,807,Promising
198,AX10552,ENX2095,A121,C1466,2018-04-30,1,1743,1743,Product 96,872,Fresno,Fresno County,California,872,Potential Loyalist
199,AX10553,ENX2065,A155,C1695,2018-07-16,1,2396,2396,Product 66,1965,San Francisco,San Francisco County,California,1965,Promising
200,AX10554,ENX2001,A165,C1396,2018-10-28,2,951,1902,Product 2,504,Sunnyvale,Santa Clara County,California,1008,Potential Loyalist
201,AX10557,ENX2000,A108,C1023,2018-02-25,1,2241,2241,Product 1,1367,Concord,Contra Costa County,California,1367,New Customer
202,AX10559,ENX2007,A111,C1575,2018-10-17,3,1405,4215,Product 8,1054,Daly City,San Mateo County,California,3162,Promising
203,AX10564,ENX2005,A143,C1507,2018-06-06,1,684,684,Product 6,561,Pasadena,Los Angeles County,California,561,Potential Loyalist
204,AX10566,ENX2031,A110,C1253,2018-07-18,4,1638,6552,Product 32,1261,Costa Mesa,Orange County,California,5044,New Customer
205,AX10574,ENX2057,A124,C1648,2018-01-27,1,181,181,Product 58,130,Glendale,Los Angeles County,California,130,Promising
206,AX10576,ENX2058,A141,C1310,2018-01-21,3,2257,6771,Product 59,1535,Oxnard,Ventura County,California,4605,Champion
207,AX10578,ENX2081,A159,C1131,2018-11-01,1,1566,1566,Product 82,1190,Santa Clara,Santa Clara County,California,1190,Promising
208,AX10580,ENX2080,A115,C1660,2018-12-26,4,2353,9412,Product 81,1788,Elk Grove,Sacramento County,California,7152,Potential Loyalist
209,AX10581,ENX2072,A115,C1530,2018-01-08,3,1887,5661,Product 73,1378,Elk Grove,Sacramento County,California,4134,Need Attention
210,AX10586,ENX2007,A125,C1701,2018-08-28,2,1405,2810,Product 8,1054,Hayward,Alameda County,California,2108,Loyal Customer
